"pathway","pval","padj","log2err","ES","NES","size"
"GOBP_ADHESION_OF_SYMBIONT_TO_HOST",0.676274944567627,1,0.0689567351672811,0.436334877892742,0.827170494611592,6
"GOBP_ADHESION_OF_SYMBIONT_TO_HOST_CELL",0.567849686847599,1,0.0747385227439092,0.545206852278983,0.944397404386513,4
"GOBP_ADIPONECTIN_ACTIVATED_SIGNALING_PATHWAY",0.862068965517241,1,0.0480220415968251,-0.349580837211947,-0.597823518688966,6
"GOBP_ADIPOSE_TISSUE_DEVELOPMENT",0.756164383561644,1,0.0411544018789903,-0.351247884028901,-0.754971010383029,43
"GOBP_ADP_BIOSYNTHETIC_PROCESS",0.248576850094877,1,0.11776578836269,-0.803575204554194,-1.24842158330767,3
"GOBP_ADP_TRANSPORT",0.848948374760994,1,0.0511147954416412,-0.398721281437331,-0.638935679309624,4
"GOBP_ADRENAL_GLAND_DEVELOPMENT",0.588636363636364,1,0.077274697304471,0.434617081062313,0.891566666959982,8
"GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY",0.424390243902439,1,0.0995791200495904,0.469579360405921,1.04216109542623,12
"GOBP_ADRENOMEDULLIN_RECEPTOR_SIGNALING_PATHWAY",0.9002079002079,1,0.0522693317499306,0.557579153824601,0.742939276847548,1
"GOBP_ADULT_BEHAVIOR",0.607547169811321,1,0.104343952581949,0.302596241779535,0.896462663911414,44
"GOBP_ADULT_HEART_DEVELOPMENT",0.284210526315789,1,0.115734447701689,0.726737668161435,1.18677702958627,3
"GOBP_ADULT_LOCOMOTORY_BEHAVIOR",0.475083056478405,1,0.111918316325105,0.356901601407377,0.994171499580665,34
"GOBP_AGGREPHAGY",0.494331065759637,1,0.0865399737444125,0.497982557828138,0.983058103242854,7
"GOBP_AGGRESOME_ASSEMBLY",0.0117326364397956,0.518326276979478,0.380730400722792,0.911537780429709,1.57894918275451,4
"GOBP_AIM2_INFLAMMASOME_COMPLEX_ASSEMBLY",0.28,1,0.116739204791222,0.72868590302375,1.18995853576674,3
"GOBP_ALANINE_TRANSPORT",0.716312056737589,1,0.0554793308704233,-0.431902705149131,-0.763054062921585,9
"GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS",0.477667493796526,1,0.0577308549299813,-0.445384300333625,-1.00210324588847,55
"GOBP_ALCOHOL_CATABOLIC_PROCESS",0.412337662337662,1,0.0782955249944794,-0.570089884223817,-1.07041885543474,14
"GOBP_ALCOHOL_METABOLIC_PROCESS",0.354910714285714,1,0.0668966276500666,-0.452348273904394,-1.08649177781756,118
"GOBP_ALDEHYDE_BIOSYNTHETIC_PROCESS",0.307839388145315,1,0.104343952581949,-0.744628304173856,-1.19323851901112,4
"GOBP_ALDEHYDE_CATABOLIC_PROCESS",0.394392523364486,1,0.0883594442500905,-0.666036728736911,-1.11055313101198,5
