"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EAF1",3.12624013149338e-08,-2.69104850996529,0.065,0.282,0.00082151338175383
"AC020916.1",3.50161539107499e-08,3.60818023218381,0.547,0.103,0.000920154492466687
"FMNL2",3.88829026695487e-08,1.7745374134724,0.876,0.615,0.0010217649163504
"A2M",4.11686840841486e-08,2.65033194758824,0.63,0.205,0.00108183068036326
"STAT4",4.51504901507113e-08,-2.90326638222358,0.065,0.282,0.00118646458018039
"TCF12",4.65507536735505e-08,1.29951263441484,0.968,0.846,0.00122326070503356
"COL1A2",4.85231136889619e-08,-2.06109855447082,0.074,0.308,0.00127509038151854
"CD99P1",6.14871454809992e-08,-3.5720604737482,0.01,0.103,0.0016157592089497
"LIPN",6.37612534465186e-08,-3.39148822810638,0.01,0.103,0.00167551821806762
"ZFHX3",6.42719643323991e-08,1.55089573937853,0.822,0.538,0.00168893867872678
"FAM49A",7.54845635765596e-08,3.33014712897672,0.554,0.128,0.00198358336166483
"BCL2A1",8.38862262531241e-08,-2.19337760056361,0.244,0.59,0.0022043622534796
"TIMP1",9.7985077044749e-08,-2.91367974048454,0.487,0.718,0.00257485185458191
"CPA6",1.03721572367486e-07,6.13616125629015,0.45,0,0.00272559547867279
"AARS1",1.08438012244078e-07,-3.52475475896985,0.01,0.103,0.00284953408574989
"KCNQ3",1.18637182356383e-07,5.5984905615685,0.468,0.026,0.00311754787796103
"SLC44A1",1.3625461928077e-07,-1.91356893760508,0.269,0.59,0.00358049888546008
"CLN8-AS1",1.43268506274248e-07,-3.15702297446936,0.016,0.128,0.00376480980787468
"LINC02940",1.46705517725898e-07,-3.09812928541579,0.016,0.128,0.00385512759480114
"CR1",1.47710389452189e-07,-1.98977210732537,0.089,0.333,0.00388153361402461
"SGK1",1.68263079561277e-07,1.55533760916272,0.867,0.641,0.00442161720471123
"LINC01578",1.74331640761893e-07,3.22322161600883,0.524,0.103,0.00458108685594102
"SFMBT2",1.83112968854317e-07,1.41810932983536,0.854,0.641,0.00481184259555375
"ZNF697",1.85088793586235e-07,-3.07729578199862,0.031,0.179,0.00486376331785907
"SVIL",2.04473888040036e-07,-2.07902046246809,0.105,0.359,0.00537316482991606
"AK4",2.14865174924413e-07,-3.10493446332091,0.04,0.205,0.00564622706666372
"LDLRAD4",2.17155594885032e-07,1.202406761639,0.943,0.897,0.00570641472238887
"CD9",2.36890403007029e-07,2.38053804116071,0.649,0.308,0.00622500601021872
"GASK1B-AS1",2.92362729784218e-07,-3.49405796174693,0.011,0.103,0.00768270781326968
"SKIC8",2.93506728382209e-07,-3.06956013321902,0.017,0.128,0.00771276980842769
"TREM2",2.94000837284506e-07,2.36170582785171,0.542,0.103,0.00772575400216225
"ID2",2.96710406426462e-07,1.62938669120108,0.872,0.692,0.00779695606007457
"FYN",3.00299708603589e-07,-2.23175384954599,0.135,0.41,0.00789127574268511
"CPD",3.40035006752864e-07,-2.20122277837989,0.119,0.385,0.00893543990745176
"BMP2K",3.87861129387823e-07,1.16565632847501,0.945,0.692,0.0101922147580532
"PI4KAP1",4.0327017000445e-07,-3.12727563107531,0.017,0.128,0.0105971335273769
"ATP5MD",4.82348187280952e-07,3.63468258666715,0.464,0.051,0.0126751456653689
"STAG3L5P",4.88123202363353e-07,-3.43455694999827,0.011,0.103,0.0128269015117042
"PHAF1",4.88123202363353e-07,-3.43455694999827,0.011,0.103,0.0128269015117042
"KIAA1109",5.31146771411594e-07,4.99652905723875,0.414,0,0.0139574748591539
"BHLHE40",5.4164394646041e-07,-1.71611738941984,0.241,0.564,0.0142333196250867
"IL1R1",5.79503381617968e-07,-2.85746269261045,0.033,0.179,0.015228189862157
"P2RY13",6.13313324989208e-07,3.72077239046985,0.503,0.103,0.0161166475540664
"ADGRE5",6.86568983584596e-07,-1.72780086641009,0.243,0.564,0.018041659750636
"CA5BP1",7.66264442165438e-07,-3.39148822810638,0.012,0.103,0.0201358970112234
