"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PRRC2C",6.4201404234716e-05,0.514926229019656,0.547,0.378,1
"BASP1",0.267275984254353,0.514782976850953,0.186,0.158,1
"PLTP",1.375705321203e-05,0.513804149654946,0.674,0.52,0.463530150926139
"PTMA",3.32186603000897e-08,0.5137380711262,0.956,0.913,0.00111926954015122
"NDUFAF3",0.000346962785471798,0.513166683561562,0.523,0.413,1
"PTPN11",0.0486204286259415,0.512852867882937,0.214,0.158,1
"SUPT6H",0.193921374066846,0.512844877212122,0.165,0.128,1
"RDX",0.0410567302609234,0.512595755653563,0.284,0.219,1
"TIMP2",5.52230779896764e-06,0.512030317184836,0.737,0.531,0.186068638978416
"PIGBOS1",0.200339174184657,0.511962320969468,0.135,0.102,1
"LEPROTL1",0.00932075873856479,0.511873930977559,0.248,0.163,1
"CCDC53",0.0197391628963491,0.511766802059027,0.315,0.24,1
"C2orf76",0.231795794620562,0.511719817952737,0.105,0.077,1
"MARC2",0.405124199072255,0.511675097258304,0.162,0.143,1
"WDFY1",0.481563388288847,0.510903229383804,0.176,0.163,1
"S100PBP",0.532374018377557,0.510888529784522,0.14,0.128,1
"SRGN",0.00185840302493497,0.510568659427722,0.494,0.367,1
"MIR99AHG",0.0643640756876283,0.510309402667969,0.194,0.138,1
"NUDT3",0.168013432076773,0.509498687285977,0.205,0.168,1
"HOOK3",0.0320603623497695,0.509375750408809,0.325,0.26,1
"CSF1",0.0678178020991517,0.507870349306088,0.148,0.097,1
"ANKRD12",0.00494481656496274,0.507761127145509,0.379,0.276,1
"HSP90B1",3.47656508714232e-08,0.507328520871993,0.852,0.714,0.00117139384046173
"NISCH",0.355189928801576,0.506649629121096,0.123,0.102,1
"FN1",5.17557172849226e-08,0.505775419459469,0.974,0.842,0.00174385713819818
"BBS7",0.109719280167782,0.505236818564239,0.121,0.082,1
"PTCH1",0.0972462567421785,0.505234861608854,0.132,0.087,1
"EIF3J",0.402271510456003,0.505078926394151,0.198,0.184,1
"TRMT10C",0.635197470861552,0.504858022036443,0.135,0.128,1
"RHOT1",0.108809306920253,0.50476598894819,0.133,0.092,1
"TRIM44",0.0640147043178376,0.504307806625015,0.194,0.138,1
"EMP3",1.96291841629564e-06,0.503682374389543,0.722,0.602,0.0661385731186654
"NOTCH2",0.037970609905095,0.502424120661917,0.326,0.255,1
"C9orf3",0.0259238802823573,0.502286232618629,0.431,0.367,1
"KTN1",0.000289102943287648,0.501812913269409,0.519,0.378,1
"NANS",0.577477926485635,0.500845724360202,0.175,0.168,1
"RBM25",0.000428101873688601,0.500110969537101,0.502,0.362,1
"H2AFX",0.0615515621531625,0.500064151916195,0.148,0.097,1
"LARP7",0.0901228678007479,0.500052983498169,0.225,0.173,1
"S100A4",3.39869710965733e-05,0.499875186550115,0.819,0.699,1
"LINC01140",0.207252117254525,0.499388637305454,0.176,0.143,1
"PICALM",0.0905449268553716,0.498938814808509,0.235,0.184,1
"SESN3",0.0136922756793768,0.49879136305839,0.268,0.179,1
"SUZ12",0.432882465567311,0.498442167530723,0.108,0.092,1
"SFTA1P",0.00530767302790919,0.498409060617565,0.293,0.199,1
"APBB2",0.0653814857167633,0.498407773351057,0.247,0.189,1
"STAU1",0.00812889841333807,0.498183975878207,0.383,0.286,1
"TOB2",0.0621813933111631,0.497409047810716,0.154,0.102,1
"HP1BP3",0.000535980072674603,0.49721005866092,0.561,0.439,1
"MFAP1",0.545106318417108,0.496118967749417,0.128,0.117,1
"GNG11",0.270604816898724,0.495323364153192,0.29,0.26,1
"RNF130",0.0123667860283942,0.495282357915638,0.37,0.281,1
"CD59",0.000330574291423193,0.494703327053392,0.712,0.592,1
"LYRM5",0.16475968182351,0.494169234046578,0.182,0.143,1
"TMCO3",0.601277450958089,0.493997905101389,0.187,0.179,1
"DPYSL2",0.00614037592886058,0.493942703527242,0.44,0.357,1
"DRAM1",0.0517090217418846,0.493592485847274,0.193,0.138,1
"ABCC9",0.290053573033784,0.493265642386592,0.17,0.143,1
"GADD45GIP1",0.00417357883085061,0.492380349761889,0.472,0.372,1
"VPS45",0.686519547138331,0.492332247797848,0.129,0.122,1
