"pathway","pval","padj","log2err","ES","NES","size","cluster"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.208571428571429,0.430178571428571,0.110564716336619,0.404585067908173,1.21440729103186,26,"4"
"HALLMARK_INFLAMMATORY_RESPONSE",0.00674518959445835,0.0445182513234251,0.407017918923954,0.454846993065499,1.61342390798834,61,"4"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.843426883308715,0.964615384615385,0.0395979123961192,0.24960857466532,0.708162820380734,20,"4"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.550607287449393,0.825910931174089,0.115240003147781,-0.233150331683837,-0.947991367661465,52,"4"
"HALLMARK_KRAS_SIGNALING_DN",0.545317220543807,0.825910931174089,0.0607719451853533,0.350977359651172,0.941138432737661,16,"4"
"HALLMARK_KRAS_SIGNALING_UP",0.0059979871839994,0.0445182513234251,0.407017918923954,0.517957803970015,1.66031271178154,35,"4"
"HALLMARK_MITOTIC_SPINDLE",0.97682119205298,0.97682119205298,0.070619624712259,-0.1768,-0.598804322304782,26,"4"
"HALLMARK_MTORC1_SIGNALING",0.00187282806227238,0.0309016630274943,0.45505986738723,0.512344925527662,1.70231768927844,43,"4"
"HALLMARK_MYOGENESIS",0.921428571428571,0.97682119205298,0.0338984188001938,0.218918803975881,0.644608046568291,23,"4"
"HALLMARK_P53_PATHWAY",0.626193724420191,0.887278308321965,0.0495901956956338,0.271785708733415,0.903035429097834,43,"4"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",8.2629649262752e-07,2.72677842567082e-05,0.659444398037935,0.524611636750904,1.99000480251091,98,"4"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.00414860326493257,0.0445182513234251,0.407017918923954,0.631715868134199,1.73581351078512,18,"4"
"HALLMARK_UV_RESPONSE_DN",0.290633608815427,0.507921015091223,0.0883594442500905,0.353514491061582,1.13318999889517,35,"4"
"HALLMARK_UV_RESPONSE_UP",0.29243937232525,0.507921015091223,0.0899860794997137,0.382937735044237,1.14171995593883,25,"4"
"HALLMARK_XENOBIOTIC_METABOLISM",0.871687587168759,0.964615384615385,0.0353910624222457,0.228477490799545,0.720051471237344,32,"4"
"HALLMARK_ADIPOGENESIS",0.930013458950202,1,0.0305608138615649,-0.349111064912225,-0.641010631335758,17,"5"
"HALLMARK_ALLOGRAFT_REJECTION",0.486486486486487,1,0.14551614609036,0.377705657281085,0.989285777637532,38,"5"
"HALLMARK_ANDROGEN_RESPONSE",0.965736040609137,1,0.0256225253207008,-0.291219117436502,-0.584964606815921,28,"5"
"HALLMARK_APICAL_JUNCTION",0.937921727395412,1,0.0302754424728262,-0.335971240778038,-0.612977232687054,16,"5"
"HALLMARK_APOPTOSIS",0.982456140350877,1,0.101713902282311,0.248886940267914,0.673256199616334,44,"5"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.969616908850727,1,0.0275182928235944,-0.310662472896204,-0.590061227709031,21,"5"
"HALLMARK_COAGULATION",0.909677419354839,1,0.0295645497308931,-0.344429471046762,-0.676701645191321,24,"5"
"HALLMARK_COMPLEMENT",0.96045197740113,1,0.100990587455923,0.270194348326392,0.725506376723861,42,"5"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.61878453038674,1,0.128788713061714,0.349176218246088,0.921752642456805,39,"5"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.996188055908513,1,0.0240035948793451,-0.220744592100001,-0.447351781261807,32,"5"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.948598130841122,1,0.0905428948469474,0.277871980654764,0.673402857172394,28,"5"
"HALLMARK_FATTY_ACID_METABOLISM",0.447154471544715,1,0.130105630751129,0.443908950850294,1.00874737552256,20,"5"
"HALLMARK_G2M_CHECKPOINT",0.166666666666667,1,0.222056046145248,0.557972107754403,1.26794672248424,20,"5"
"HALLMARK_GLYCOLYSIS",0.995327102803738,1,0.0878312634480124,0.207299608758013,0.502375764909539,28,"5"
"HALLMARK_HEME_METABOLISM",0.988031914893617,1,0.0268860833830403,-0.245521240438029,-0.459848988224275,19,"5"
"HALLMARK_HYPOXIA",0.997668997668998,1,0.0187775930480379,-0.255970885181463,-0.551686520535937,58,"5"
"HALLMARK_IL2_STAT5_SIGNALING",1,1,0.0198261062533673,-0.14290515472143,-0.303730764465111,48,"5"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.986784140969163,1,0.0850427463764322,0.266947991682878,0.630695265390516,24,"5"
"HALLMARK_INFLAMMATORY_RESPONSE",0.248275862068966,1,0.237793834423688,0.395800667096534,1.1109998823833,57,"5"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.223577235772358,1,0.190023305279108,0.513856148848028,1.16769675527762,20,"5"
