"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.64922534399589e-118,0.859765047622165,0.699,0.471,2.53562343589524e-113,"0","EPSTI1"
3.3839225716433e-107,0.859433303448089,0.625,0.386,8.89227173376425e-103,"0","L3MBTL4"
6.80516778786495e-146,0.854729273017355,0.811,0.59,1.78826199129515e-141,"0","CIITA"
3.81930914314852e-56,0.853605044279438,0.355,0.201,1.00363805663657e-51,"0","TRANK1"
3.29032551283761e-91,0.851917431708079,0.574,0.355,8.64631738263468e-87,"0","SP110"
1.69498145077488e-94,0.849025288035337,0.653,0.452,4.45407225634624e-90,"0","FAM168A"
8.0353863678985e-60,0.847661526166097,0.386,0.222,2.11153882975637e-55,"0","DAPP1"
1.74541561359872e-79,0.847461450661089,0.538,0.341,4.58660314941471e-75,"0","CUL1"
1.37486542603488e-61,0.847105212171635,0.459,0.29,3.61287136653447e-57,"0","PPA1"
6.32201384381194e-57,0.843401298652695,0.364,0.21,1.6612987978769e-52,"0","OFD1"
3.30243511014488e-173,0.841352251153676,0.926,0.762,8.67813898243873e-169,"0","SFMBT2"
7.94063439828143e-88,0.839806911615477,0.774,0.625,2.08663990718039e-83,"0","JAZF1"
2.99423363301705e-70,0.838130794980464,0.549,0.366,7.86824714084219e-66,"0","ANKUB1"
1.85923631625303e-42,0.831881940382373,0.318,0.191,4.8857011918497e-38,"0","SFMBT1"
1.12841353204886e-122,0.830432199998042,0.796,0.604,2.96524507951799e-118,"0","ST6GAL1"
1.82515470616874e-85,0.829981747792133,0.64,0.433,4.79614153687021e-81,"0","P2RY13"
4.78373537433322e-77,0.829978497172912,0.492,0.293,1.25706998166728e-72,"0","PRKN"
5.37048067638531e-88,0.825687617484479,0.545,0.329,1.41125491214053e-83,"0","FMNL3"
8.33076555186765e-183,0.825605648861222,0.937,0.78,2.18915857171978e-178,"0","AOAH"
1.70140154246673e-37,0.823028627595243,0.295,0.179,4.47094297329407e-33,"0","NAALADL2"
5.56904044870183e-64,0.813996077370146,0.431,0.26,1.46343244910987e-59,"0","DPYD-AS1"
1.25490540774576e-174,0.811493595198506,0.917,0.731,3.29764043047432e-170,"0","MARCH1"
4.27522460189007e-43,0.811384425236026,0.299,0.174,1.12344352088467e-38,"0","IRF9"
3.09268815036153e-68,0.809466336170764,0.469,0.287,8.12696592152002e-64,"0","HLA-F"
2.93693263120816e-179,0.806599948131081,0.94,0.787,7.71767156828881e-175,"0","C1QB"
2.05947269372558e-235,0.804329685367555,0.979,0.904,5.41188234457208e-231,"0","FYB1"
3.12392194270748e-44,0.802913614239271,0.336,0.201,8.20904208104672e-40,"0","AC009313.1"
3.77461190139331e-30,0.801200838953897,0.273,0.171,9.91892515448133e-26,"0","EYA2"
4.83619316987401e-152,0.799277210636737,0.945,0.82,1.27085484117949e-147,"0","FMNL2"
1.1872416978816e-54,0.799225875474371,0.395,0.237,3.11983373369326e-50,"0","AC005670.3"
9.94439072856535e-36,0.798138066114144,0.36,0.236,2.6131869956524e-31,"0","IFIT2"
4.6633295406589e-47,0.79712163521524,0.399,0.253,1.22542973669434e-42,"0","VAMP5"
3.8424246254538e-51,0.79666480350639,0.489,0.333,1.00971234307675e-46,"0","HIVEP3"
6.56047184922144e-41,0.794792418869233,0.28,0.16,1.72396079253841e-36,"0","OAS1"
3.048644792652e-41,0.794172297773893,0.268,0.149,8.01122878613091e-37,"0","LOXL3"
2.01610868247411e-42,0.793549611377171,0.298,0.173,5.29793039580546e-38,"0","FTCDNL1"
4.33192028184029e-68,0.793205491228236,0.464,0.279,1.13834201166199e-63,"0","RGS18"
1.58285301142982e-41,0.792416236311117,0.314,0.188,4.15942114343529e-37,"0","TMLHE"
9.63654943252659e-66,0.791911856148017,0.469,0.291,2.53229245987934e-61,"0","SCPEP1"
1.70970790100817e-44,0.7904931578603,0.334,0.199,4.49277042226928e-40,"0","PALM2-AKAP2"
7.82808875140903e-32,0.789903861034091,0.267,0.164,2.05706516209527e-27,"0","LY75"
1.79639801879175e-43,0.789494460766526,0.339,0.208,4.72057471378095e-39,"0","SVBP"
1.11664008351086e-101,0.788519417855466,0.512,0.273,2.93430681144985e-97,"0","AXL"
5.01002017712338e-57,0.782502095397354,0.403,0.24,1.31653310214448e-52,"0","SGPP1"
3.2005737603678e-40,0.780913577416017,0.268,0.151,8.4104677274945e-36,"0","BTN3A2"
4.32766836640263e-84,0.779556752269825,0.78,0.644,1.13722469332328e-79,"0","EPB41L2"
1.41951191979958e-75,0.777124187134798,0.531,0.329,3.73019342284933e-71,"0","MS4A4E"
5.29070285312842e-85,0.775385361562679,0.578,0.37,1.39029089574509e-80,"0","ALDH2"
1.59463827046189e-63,0.774844515544512,0.44,0.261,4.19039044711976e-59,"0","ATP10D"
1.22946091749097e-80,0.773874082788968,0.498,0.289,3.23077739898278e-76,"0","MVB12B"
3.57185279608299e-40,0.772119406045191,0.31,0.185,9.38611477754688e-36,"0","PRH1"
3.73546958013512e-69,0.77140988139729,0.488,0.296,9.81606696267908e-65,"0","MFSD14C"
1.81913235529315e-40,0.76844349852778,0.314,0.189,4.78031600323934e-36,"0","DNASE2"
2.71119797060949e-38,0.768426332272125,0.311,0.191,7.12448602716762e-34,"0","ZNF791"
2.40815823363905e-82,0.767996225995299,0.565,0.357,6.32815820635669e-78,"0","TRPM2"
5.29373700848217e-44,0.767804174191862,0.425,0.282,1.39108821108895e-39,"0","PSTPIP2"
1.6150946017717e-42,0.766602258522694,0.301,0.174,4.24414559453567e-38,"0","AC006230.1"
1.05863542357689e-39,0.764036983678599,0.296,0.174,2.78188216607536e-35,"0","WNT2B"
1.64163787560996e-41,0.76349795291345,0.3,0.175,4.31389600952786e-37,"0","LINC02391"
9.82655832469759e-41,0.762480678516996,0.294,0.171,2.58222299656403e-36,"0","HMGA1P4"
9.17489307481119e-40,0.760910623720229,0.311,0.188,2.41097840219889e-35,"0","LYSMD2"
